[None, None, None]
[-1.0407219648361206, 0, -0.060532022267580032]
[-1.029984998703003, 0, -0.060171500593423841]
[-1.023223376274109, 0, -0.05963071808218956]
[-1.0396314144134522, 0, -0.05963071808218956]
[-1.0426474332809448, 0, -0.059991239756345752]
[-1.0141443729400634, 0, -0.060532022267580032]
[-1.0186196327209474, 0, -0.05963071808218956]
[-1.018813180923462, -0.0090735672041773793, -0.060532022267580032]
[-1.0510321855545044, 0, -0.060532022267580032]
[-1.0216278791427613, 0, -0.060532022267580032]
[-1.0093726396560669, 0, -0.05963071808218956]
[-1.0391141414642333, 0, -0.060532022267580032]
[-1.0251448392868041, 0, -0.060532022267580032]
[-1.0244932413101195, 0, -0.060532022267580032]
[-1.0255728721618653, -0.015122612006962299, -0.060532022267580032]
[-1.0173066020011903, 0, -0.060532022267580032]
[-1.039699101448059, 0, -0.060532022267580032]
[-1.0306941509246825, 0, -0.060532022267580032]
[-1.0757991075515747, 0, -0.060532022267580032]
[-1.0169531822204589, 0, -0.060532022267580032]
[-1.0307435154914857, 0, -0.060532022267580032]
[-1.0455623388290405, 0, -0.060532022267580032]
[-1.0429587364196777, 0, -0.062827204167842862]
[-1.0460244178771974, 0, -0.060171500593423841]
[-1.0481275320053101, 0, -0.05963071808218956]
[-1.0532415866851808, 0, -0.059991239756345752]
[-1.0372381687164307, 0, -0.059991239756345752]
[-1.0365699291229249, 0, -0.059991239756345752]
[-1.0588939189910889, 0, -0.060532022267580032]
[-1.0460626363754273, 0, -0.060532022267580032]
[-1.0456384181976319, 0, -0.060532022267580032]
[-0.98977594375610356, 0, -0.05963071808218956]
[-1.0555023193359374, 0, -0.060532022267580032]
[-1.0393874883651733, 0, -0.060532022267580032]
[-1.0449579715728761, 0, -0.060532022267580032]
[-1.0664323091506958, -0.0060428291559219364, -0.066564472764730459]
[-1.0325520992279054, 0, -0.05963071808218956]
[-1.0462920665740967, 0, -0.05963071808218956]
[-1.0479147195816041, 0, -0.05963071808218956]
[-1.0378115415573119, 0, -0.05963071808218956]
[-1.0019893288612365, 0, -0.060532022267580032]
[-1.0479873657226562, 0, -0.060532022267580032]
[-1.0444627761840821, 0, -0.075613148510456085]
[-1.0450701236724853, 0, -0.060532022267580032]
[-1.0295254468917847, 0, -0.060532022267580032]
[-1.0408542394638061, 0, -0.05963071808218956]
[-1.0448306322097778, 0, -0.059991239756345752]
[-1.0105452537536621, 0, -0.060532022267580032]
[-1.0650627374649049, 0, -0.060532022267580032]
[-1.0396760940551757, 0, -0.060532022267580032]
[-1.0115790605545043, 0, -0.060532022267580032]
[-1.0469308853149415, 0, -0.063548247516155246]
[-1.0343612670898437, 0, -0.066564472764730459]
[-1.0395552873611451, 0, -0.060532022267580032]
[-1.024834656715393, -0.014897742308676243, -0.059630714356899261]
[-1.0652644157409668, 0, -0.069220176339149481]
[-1.0433448314666749, 0, -0.060532022267580032]
[-1.0368570804595947, 0, -0.059991239756345752]
[-1.0426088094711303, 0, -0.075613148510456085]
[-1.0512080907821655, 0, -0.05963071808218956]
[-1.0188755989074707, 0.0090735672041773793, -0.060532022267580032]
[-1.0330455780029297, 0, -0.060532022267580032]
[-1.0371341466903687, 0, -0.05963071808218956]
[-1.0473249912261964, 0, -0.05963071808218956]
[-1.0385618209838867, 0, -0.05963071808218956]
